symbol,announce_time,session,analyst_surprise,source
BAC,2020-04-15 06:46:04,bmo,,sec_8k_2.02
GS,2020-04-15 07:32:20,bmo,,sec_8k_2.02
PG,2020-04-17 07:05:17,bmo,,sec_8k_2.02
KO,2020-04-21 06:25:20,bmo,,sec_8k_2.02
INTC,2020-04-23 12:07:24,intraday,,sec_8k_2.02
PFE,2020-04-28 08:26:48,bmo,,sec_8k_2.02
GOOGL,2020-04-28 16:01:47,amc,,sec_8k_2.02
MSFT,2020-04-29 16:03:54,amc,,sec_8k_2.02
META,2020-04-29 16:10:26,amc,,sec_8k_2.02
AAPL,2020-04-30 16:30:41,amc,,sec_8k_2.02
AMZN,2020-04-30 16:42:20,amc,,sec_8k_2.02
CVX,2020-05-01 09:00:23,bmo,,sec_8k_2.02
CSCO,2020-05-13 16:09:40,amc,,sec_8k_2.02
HD,2020-05-19 06:15:47,bmo,,sec_8k_2.02
WMT,2020-05-19 06:58:07,bmo,,sec_8k_2.02
NVDA,2020-05-21 16:22:07,amc,,sec_8k_2.02
ORCL,2020-06-16 16:17:05,amc,,sec_8k_2.02
JPM,2020-07-14 06:45:40,bmo,,sec_8k_2.02
GS,2020-07-15 07:33:13,bmo,,sec_8k_2.02
BAC,2020-07-16 06:45:55,bmo,,sec_8k_2.02
JNJ,2020-07-16 07:31:10,bmo,,sec_8k_2.02
KO,2020-07-21 06:59:21,bmo,,sec_8k_2.02
MSFT,2020-07-22 16:03:04,amc,,sec_8k_2.02
INTC,2020-07-23 12:07:41,intraday,,sec_8k_2.02
GS,2020-07-24 07:04:33,bmo,,sec_8k_2.02
PFE,2020-07-28 08:28:12,bmo,,sec_8k_2.02
PG,2020-07-30 07:06:07,bmo,,sec_8k_2.02
GOOGL,2020-07-30 18:40:20,amc,,sec_8k_2.02
AAPL,2020-07-30 18:55:04,amc,,sec_8k_2.02
AMZN,2020-07-30 19:05:15,amc,,sec_8k_2.02
META,2020-07-30 19:18:23,amc,,sec_8k_2.02
CVX,2020-07-31 08:37:55,bmo,,sec_8k_2.02
CSCO,2020-08-12 16:10:03,amc,,sec_8k_2.02
HD,2020-08-18 06:23:49,bmo,,sec_8k_2.02
WMT,2020-08-18 06:58:12,bmo,,sec_8k_2.02
NVDA,2020-08-19 16:21:46,amc,,sec_8k_2.02
ORCL,2020-09-10 16:16:34,amc,,sec_8k_2.02
JPM,2020-10-13 06:45:49,bmo,,sec_8k_2.02
JNJ,2020-10-13 07:12:34,bmo,,sec_8k_2.02
BAC,2020-10-14 06:46:17,bmo,,sec_8k_2.02
GS,2020-10-14 07:32:09,bmo,,sec_8k_2.02
PG,2020-10-20 07:07:30,bmo,,sec_8k_2.02
KO,2020-10-22 06:59:55,bmo,,sec_8k_2.02
INTC,2020-10-22 12:07:11,intraday,,sec_8k_2.02
GS,2020-10-22 12:50:56,intraday,,sec_8k_2.02
PFE,2020-10-27 08:11:48,bmo,,sec_8k_2.02
MSFT,2020-10-27 16:12:57,amc,,sec_8k_2.02
GOOGL,2020-10-29 16:01:25,amc,,sec_8k_2.02
META,2020-10-29 16:07:58,amc,,sec_8k_2.02
AAPL,2020-10-29 16:30:32,amc,,sec_8k_2.02
AMZN,2020-10-29 16:42:03,amc,,sec_8k_2.02
CVX,2020-10-30 06:47:22,bmo,,sec_8k_2.02
CSCO,2020-11-12 16:09:04,amc,,sec_8k_2.02
HD,2020-11-17 06:07:01,bmo,,sec_8k_2.02
WMT,2020-11-17 06:59:36,bmo,,sec_8k_2.02
NVDA,2020-11-18 16:21:51,amc,,sec_8k_2.02
ORCL,2020-12-10 16:11:22,amc,,sec_8k_2.02
INTC,2021-01-14 12:10:00,intraday,,sec_8k_2.02
JPM,2021-01-15 06:45:52,bmo,,sec_8k_2.02
BAC,2021-01-19 06:45:43,bmo,,sec_8k_2.02
GS,2021-01-19 07:30:09,bmo,,sec_8k_2.02
PG,2021-01-20 07:09:15,bmo,,sec_8k_2.02
INTC,2021-01-21 11:04:38,intraday,,sec_8k_2.02
JNJ,2021-01-26 08:06:06,bmo,,sec_8k_2.02
MSFT,2021-01-26 16:04:05,amc,,sec_8k_2.02
META,2021-01-27 16:08:08,amc,,sec_8k_2.02
AAPL,2021-01-27 16:30:35,amc,,sec_8k_2.02
CVX,2021-01-29 07:32:28,bmo,,sec_8k_2.02
PFE,2021-02-02 08:34:49,bmo,,sec_8k_2.02
GOOGL,2021-02-02 16:01:27,amc,,sec_8k_2.02
AMZN,2021-02-02 16:30:08,amc,,sec_8k_2.02
CSCO,2021-02-09 16:11:01,amc,,sec_8k_2.02
KO,2021-02-10 06:58:03,bmo,,sec_8k_2.02
WMT,2021-02-18 06:59:20,bmo,,sec_8k_2.02
HD,2021-02-23 06:14:41,bmo,,sec_8k_2.02
