symbol,announce_time,session,analyst_surprise,source
JPM,2024-07-12 06:46:30,bmo,,sec_8k_2.02
GS,2024-07-15 07:38:09,bmo,,sec_8k_2.02
BAC,2024-07-16 06:45:46,bmo,,sec_8k_2.02
JNJ,2024-07-17 08:14:26,bmo,,sec_8k_2.02
KO,2024-07-23 06:58:02,bmo,,sec_8k_2.02
GOOGL,2024-07-23 16:01:54,amc,,sec_8k_2.02
PG,2024-07-30 07:01:57,bmo,,sec_8k_2.02
PFE,2024-07-30 08:04:27,bmo,,sec_8k_2.02
MSFT,2024-07-30 16:03:22,amc,,sec_8k_2.02
META,2024-07-31 16:11:20,amc,,sec_8k_2.02
INTC,2024-08-01 12:08:44,intraday,,sec_8k_2.02
AMZN,2024-08-01 16:06:02,amc,,sec_8k_2.02
AAPL,2024-08-01 16:30:26,amc,,sec_8k_2.02
CVX,2024-08-02 06:16:14,bmo,,sec_8k_2.02
HD,2024-08-13 06:07:00,bmo,,sec_8k_2.02
CSCO,2024-08-14 16:16:02,amc,,sec_8k_2.02
WMT,2024-08-15 06:59:32,bmo,,sec_8k_2.02
NVDA,2024-08-28 16:21:16,amc,,sec_8k_2.02
ORCL,2024-09-09 16:17:34,amc,,sec_8k_2.02
JPM,2024-10-11 06:46:16,bmo,,sec_8k_2.02
BAC,2024-10-15 06:46:39,bmo,,sec_8k_2.02
GS,2024-10-15 07:32:34,bmo,,sec_8k_2.02
JNJ,2024-10-15 07:37:20,bmo,,sec_8k_2.02
PG,2024-10-18 07:02:32,bmo,,sec_8k_2.02
KO,2024-10-23 07:00:47,bmo,,sec_8k_2.02
PFE,2024-10-29 08:06:28,bmo,,sec_8k_2.02
GOOGL,2024-10-29 16:01:46,amc,,sec_8k_2.02
MSFT,2024-10-30 16:04:07,amc,,sec_8k_2.02
META,2024-10-30 16:08:12,amc,,sec_8k_2.02
INTC,2024-10-31 12:07:17,intraday,,sec_8k_2.02
AMZN,2024-10-31 16:13:57,amc,,sec_8k_2.02
AAPL,2024-10-31 16:30:25,amc,,sec_8k_2.02
CVX,2024-11-01 06:16:39,bmo,,sec_8k_2.02
HD,2024-11-12 06:10:23,bmo,,sec_8k_2.02
CSCO,2024-11-13 16:14:31,amc,,sec_8k_2.02
WMT,2024-11-19 06:59:42,bmo,,sec_8k_2.02
NVDA,2024-11-20 16:21:20,amc,,sec_8k_2.02
ORCL,2024-12-09 16:13:45,amc,,sec_8k_2.02
